1,30,1,0,-1,3
1,60,2,1,-1,3
1,0,-1,2,-1,3
2,30,4,0,-1,3
2,60,5,1,-1,3
2,0,-1,2,-1,3
3,30,7,0,-1,3
3,60,8,1,-1,3
3,0,-1,2,-1,3
4,30,10,0,-1,3
4,0,-1,1,-1,3
5,30,12,0,-1,3
5,0,-1,1,-1,3
1,30,14,0,-1,3
1,60,15,1,-1,3
1,0,-1,2,-1,3
3,30,17,0,-1,3
3,60,18,1,-1,3
3,0,-1,2,-1,3
4,30,20,0,-1,3
4,60,21,1,-1,3
4,0,-1,2,-1,3
1,30,23,0,-1,1
1,60,24,1,-1,1
1,0,-1,2,-1,1
2,30,26,0,22,1
2,60,27,1,-1,1
2,0,-1,2,-1,1
3,30,29,0,22,1
3,60,30,1,-1,1
3,0,-1,2,-1,1
4,30,32,0,22,1
4,60,33,1,-1,1
4,0,-1,2,-1,1
5,30,35,0,22,1
5,60,36,1,-1,1
5,0,-1,2,-1,1
1,30,38,0,-1,1
1,60,39,1,-1,1
1,0,-1,2,-1,1
2,30,41,0,37,1
2,60,42,1,-1,1
2,0,-1,2,-1,1
3,30,44,0,37,1
3,60,45,1,-1,1
3,0,-1,2,-1,1
4,30,47,0,37,1
4,60,48,1,-1,1
4,0,-1,2,-1,1
5,30,50,0,37,1
5,60,51,1,-1,1
5,0,-1,2,-1,1
1,30,53,0,-1,1
1,60,54,1,-1,1
1,0,-1,2,-1,1
2,30,56,0,52,1
2,60,57,1,-1,1
2,0,-1,2,-1,1
3,30,59,0,52,1
3,60,60,1,-1,1
3,0,-1,2,-1,1
4,30,62,0,52,1
4,60,63,1,-1,1
4,0,-1,2,-1,1
5,30,65,0,52,1
5,60,66,1,-1,1
5,0,-1,2,-1,1
1,30,68,0,-1,3
1,60,69,1,-1,3
1,0,-1,2,-1,3
1,30,71,0,-1,2
1,0,-1,1,-1,2
2,30,73,0,-1,2
2,0,-1,1,-1,2
3,30,75,0,-1,2
3,0,-1,1,-1,2
4,30,77,0,-1,2
4,0,-1,1,-1,2
5,30,79,0,-1,2
5,0,-1,1,-1,2
1,30,81,0,-1,2
1,60,82,1,-1,2
1,0,-1,2,-1,2
2,30,84,0,-1,2
2,60,85,1,-1,2
2,0,-1,2,-1,2
3,30,87,0,-1,2
3,60,88,1,-1,2
3,0,-1,2,-1,2
4,30,90,0,-1,2
4,60,91,1,-1,2
4,0,-1,2,-1,2
5,30,93,0,-1,2
5,60,94,1,-1,2
5,0,-1,2,-1,2
1,30,96,0,-1,2
1,60,97,1,-1,2
1,0,-1,2,-1,2
2,30,99,0,-1,2
2,60,100,1,-1,2
2,0,-1,2,-1,2
3,30,102,0,-1,2
3,60,103,1,-1,2
3,0,-1,2,-1,2
4,30,105,0,-1,2
4,60,106,1,-1,2
4,0,-1,2,-1,2
5,30,108,0,-1,2
5,60,109,1,-1,2
5,0,-1,2,-1,2
1,30,111,0,-1,3
1,60,112,1,-1,3
1,0,-1,2,-1,3
2,30,114,0,-1,3
2,60,115,1,-1,3
2,0,-1,2,-1,3
3,30,117,0,-1,3
3,60,118,1,-1,3
3,0,-1,2,-1,3
1,30,120,0,-1,2
1,60,121,1,-1,2
1,0,-1,2,-1,2
2,30,123,0,-1,2
2,60,124,1,-1,2
2,0,-1,2,-1,2
3,30,126,0,-1,2
3,60,127,1,-1,2
3,0,-1,2,-1,2
4,30,129,0,-1,2
4,60,130,1,-1,2
4,0,-1,2,-1,2
5,30,132,0,-1,2
5,60,133,1,-1,2
5,0,-1,2,-1,2
1,30,135,0,-1,2
1,60,136,1,-1,2
1,0,-1,2,-1,2
2,30,138,0,134,2
2,60,139,1,-1,2
2,0,-1,2,-1,2
3,30,141,0,134,2
3,60,142,1,-1,2
3,0,-1,2,-1,2
4,30,144,0,134,2
4,60,145,1,-1,2
4,0,-1,2,-1,2
5,30,147,0,134,2
5,60,148,1,-1,2
5,0,-1,2,-1,2
1,30,150,0,-1,2
1,60,151,1,-1,2
1,0,-1,2,-1,2
2,30,153,0,-1,2
2,60,154,1,-1,2
2,0,-1,2,-1,2
3,30,156,0,-1,2
3,60,157,1,-1,2
3,0,-1,2,-1,2
4,30,159,0,-1,2
4,60,160,1,-1,2
4,0,-1,2,-1,2
5,30,162,0,-1,2
5,60,163,1,-1,2
5,0,-1,2,-1,2
1,30,165,0,-1,5
1,60,166,1,-1,5
1,0,-1,2,-1,5
2,30,168,0,-1,5
2,60,169,1,-1,5
2,0,-1,2,-1,5
3,30,171,0,-1,5
3,60,172,1,-1,5
3,0,-1,2,-1,5
4,30,174,0,-1,5
4,60,175,1,-1,5
4,0,-1,2,-1,5
5,30,177,0,-1,5
5,60,178,1,-1,5
5,0,-1,2,-1,5
1,30,180,0,-1,4
1,60,181,1,-1,4
1,0,-1,2,-1,4
4,30,183,0,-1,4
4,60,184,1,-1,4
4,0,-1,2,-1,4
3,30,186,0,-1,4
3,60,187,1,-1,4
3,0,-1,2,-1,4
3,30,189,0,-1,4
3,60,190,1,-1,4
3,0,-1,2,-1,4
5,30,192,0,-1,4
5,60,193,1,-1,4
5,0,-1,2,-1,4
4,30,195,0,-1,5
4,60,196,1,-1,5
4,0,-1,2,-1,5
5,30,198,0,-1,5
5,60,199,1,-1,5
5,0,-1,2,-1,5
